Catedra,anioMateria,tipoPE,horasP,horasTP,horasPE,cantInscriptos,cantRindieron,prueba
Introduccion_a_la_Programacion_I,            1, 3, 3, 2, 1, 328, 255, 1
Analisis_y_Diseño_de_Algoritmos_I,           2, 3, 3, 0, 2, 110, 80, 1
Introduccion_a_la_Arquitectura_de_Sistemas,  2, 0, 2, 3, 0, 132, 119, 1
Metodologias_de_Desarrollo_de_Software_I,    3, 1, 3, 3, 2, 94,  91, 1
