Catedra,anioMateria,tipoPE,horasP,horasTP,horasPE,cantInscriptos,cantRindieron
Introduccion_a_la_Programacion_I,1,3,0,300,0,238,255
Analisis_y_Diseño_de_Algoritmos_I,2,3,0,165,45,110,80
Introduccion_a_la_Arquitectura_de_Sistemas,2,0,90,60,0,132,119
Metodologias_de_Desarrollo_de_Software_I,3,1,90,90,60,94,91
